,County Name,State,Date,Cases,Deaths,Series_Complete_Yes,Series_Complete_Pop_Pct,Administered_Dose1_Pop_Pct,Booster_Doses_Vax_Pct
1018983,Mills County,IA,2021-12-17,2377,30,7695,50.9,57.2,35.0
1018984,Mitchell County,IA,2021-12-17,1933,46,4928,46.6,49.5,48.0
1018985,Monona County,IA,2021-12-17,1301,40,4459,51.8,54.9,38.0
1018986,Monroe County,IA,2021-12-17,1499,42,3384,43.9,47.2,43.6
1018987,Montgomery County,IA,2021-12-17,1667,48,5279,53.2,58.8,39.5
1018988,Muscatine County,IA,2021-12-17,6963,118,24520,57.5,62.7,33.7
1018989,O'Brien County,IA,2021-12-17,2592,67,6643,48.3,51.7,41.3
1018990,Osceola County,IA,2021-12-17,1088,18,2584,43.4,46.3,40.9
1018991,Page County,IA,2021-12-17,2830,35,7608,50.4,55.6,41.7
1018992,Palo Alto County,IA,2021-12-17,1580,32,4285,48.2,51.8,43.5
1018993,Plymouth County,IA,2021-12-17,5088,89,12496,49.6,53.1,36.9
1018994,Pocahontas County,IA,2021-12-17,1259,25,3327,50.3,54.0,40.3
1018995,Polk County,IA,2021-12-17,85421,838,310326,63.3,69.9,37.8
1018996,Pottawattamie County,IA,2021-12-17,16985,230,49921,53.6,60.8,33.7
1018997,Poweshiek County,IA,2021-12-17,2560,44,10391,56.2,62.1,43.9
1018998,Ringgold County,IA,2021-12-17,845,31,2436,49.8,53.5,58.3
1018999,Sac County,IA,2021-12-17,1827,26,4885,50.3,53.8,43.4
1019000,Scott County,IA,2021-12-17,28855,305,98010,56.7,65.6,34.8
1019001,Shelby County,IA,2021-12-17,2102,44,6467,56.5,60.4,44.1
1019002,Sioux County,IA,2021-12-17,6392,77,13801,39.6,42.6,28.8
1019003,Story County,IA,2021-12-17,14439,60,58452,60.2,65.1,41.3
1019004,Tama County,IA,2021-12-17,2953,78,9958,59.1,63.6,40.5
1019005,Taylor County,IA,2021-12-17,1047,17,2741,44.8,48.0,45.3
1019006,Union County,IA,2021-12-17,2100,42,5978,48.8,52.9,44.1
1019007,Van Buren County,IA,2021-12-17,1010,24,2845,40.4,43.5,41.5
1019008,Wapello County,IA,2021-12-17,6869,153,16408,46.9,50.8,35.1
1019009,Warren County,IA,2021-12-17,9040,109,29159,56.7,61.7,39.8
1019010,Washington County,IA,2021-12-17,4115,66,11885,54.1,58.6,40.8
1019011,Wayne County,IA,2021-12-17,925,26,2569,39.9,43.1,47.1
1019012,Webster County,IA,2021-12-17,7792,128,19560,54.5,59.2,41.1
1019013,Winnebago County,IA,2021-12-17,2372,40,5185,50.1,54.1,39.9
1019014,Winneshiek County,IA,2021-12-17,2859,44,11883,59.4,64.1,48.2
1019015,Woodbury County,IA,2021-12-17,21345,276,54569,52.9,58.9,29.9
1019016,Worth County,IA,2021-12-17,1292,10,3650,49.5,53.1,45.0
1019017,Wright County,IA,2021-12-17,2806,54,6848,54.5,58.6,43.0
1019018,Ada County,ID,2021-12-17,87341,854,260628,54.1,59.6,40.9
1019019,Adams County,ID,2021-12-17,557,14,1719,40.0,43.6,37.1
1019020,Bannock County,ID,2021-12-17,14505,210,38896,44.3,49.8,35.2
1019021,Bear Lake County,ID,2021-12-17,749,15,2534,41.4,46.1,32.0
1019022,Benewah County,ID,2021-12-17,1655,29,4265,45.9,54.0,33.1
1019023,Bingham County,ID,2021-12-17,7319,132,19201,41.0,45.7,29.5
1019024,Blaine County,ID,2021-12-17,3257,27,16164,70.2,79.0,41.8
1019025,Boise County,ID,2021-12-17,832,11,2439,31.1,36.2,34.6
1019026,Bonner County,ID,2021-12-17,6664,139,17811,38.9,44.0,40.3
1019027,Bonneville County,ID,2021-12-17,22064,244,52795,44.3,49.1,31.6
1019028,Boundary County,ID,2021-12-17,1732,49,3837,31.3,34.3,34.2
1019029,Butte County,ID,2021-12-17,388,5,1132,43.6,48.2,31.6
1019030,Camas County,ID,2021-12-17,108,1,440,39.8,42.3,37.0
1019031,Canyon County,ID,2021-12-17,44389,595,89427,38.9,43.7,30.6
1019032,Caribou County,ID,2021-12-17,1078,23,2528,35.3,37.7,35.4
1019033,Cassia County,ID,2021-12-17,4040,44,8084,33.6,39.5,24.8
1019034,Clark County,ID,2021-12-17,90,0,298,35.3,39.3,25.8
1019035,Clearwater County,ID,2021-12-17,1735,27,3417,39.0,43.9,38.7
1019036,Custer County,ID,2021-12-17,409,6,1855,43.0,47.5,41.9
1019037,Elmore County,ID,2021-12-17,4439,52,11064,40.2,56.2,21.7
1019038,Franklin County,ID,2021-12-17,1811,26,5303,38.2,43.4,27.0
1019039,Fremont County,ID,2021-12-17,1706,18,5086,38.8,44.1,27.4
1019040,Gem County,ID,2021-12-17,2939,70,6494,35.9,40.7,33.9
1019041,Gooding County,ID,2021-12-17,2393,44,5706,37.6,42.5,30.1
1019042,Idaho County,ID,2021-12-17,2352,39,4656,27.9,31.1,36.1
1019043,Jefferson County,ID,2021-12-17,4562,53,10559,35.3,39.4,25.3
1019044,Jerome County,ID,2021-12-17,4453,55,9224,37.8,42.6,29.1
1019045,Kootenai County,ID,2021-12-17,31648,472,67356,40.7,46.5,33.5
1019046,Latah County,ID,2021-12-17,4829,41,20793,51.8,58.3,34.3
1019047,Lemhi County,ID,2021-12-17,995,21,3406,42.4,47.5,44.9
1019048,Lewis County,ID,2021-12-17,853,23,1787,46.6,54.1,33.9
1019049,Lincoln County,ID,2021-12-17,768,14,1927,35.9,40.2,29.7
1019050,Madison County,ID,2021-12-17,9252,42,18405,46.1,53.8,15.2
1019051,Minidoka County,ID,2021-12-17,3287,52,7475,35.5,40.6,26.3
1019052,Nez Perce County,ID,2021-12-17,6520,108,20162,49.9,58.8,28.2
1019053,Oneida County,ID,2021-12-17,599,10,1773,39.1,44.3,39.6
1019054,Owyhee County,ID,2021-12-17,1734,41,3600,30.4,34.7,27.6
1019055,Payette County,ID,2021-12-17,4305,72,6920,28.9,32.9,28.2
1019056,Power County,ID,2021-12-17,1116,17,3326,43.3,47.5,33.9
1019057,Shoshone County,ID,2021-12-17,2203,66,5100,39.6,43.7,42.1
1019058,Teton County,ID,2021-12-17,1784,7,6712,55.3,65.3,34.6
1019059,Twin Falls County,ID,2021-12-17,16795,240,36702,42.2,46.6,34.1
1019060,Valley County,ID,2021-12-17,1618,13,6217,54.6,61.0,43.2
1019061,Washington County,ID,2021-12-17,1937,47,3742,36.7,41.0,31.5
1019062,Adams County,IL,2021-12-17,15414,199,33023,50.5,54.9,32.1
1019063,Alexander County,IL,2021-12-17,846,13,1623,28.2,33.9,27.4
1019064,Bond County,IL,2021-12-17,2913,40,8393,51.1,54.7,31.1
1019065,Boone County,IL,2021-12-17,9509,100,30280,56.6,62.4,33.2
1019066,Brown County,IL,2021-12-17,1176,18,3250,49.4,54.9,32.6
1019067,Bureau County,IL,2021-12-17,5306,126,17644,54.1,60.3,36.7
1019068,Calhoun County,IL,2021-12-17,902,8,2048,43.2,47.0,32.7
1019069,Carroll County,IL,2021-12-17,2887,43,8508,59.5,66.9,32.8
1019070,Cass County,IL,2021-12-17,2944,43,6841,56.3,61.2,28.8
1019071,Champaign County,IL,2021-12-17,32999,236,126930,60.5,67.2,38.2
1019072,Christian County,IL,2021-12-17,6340,114,14444,44.7,49.1,27.5
1019073,Clark County,IL,2021-12-17,3153,54,7039,45.6,52.1,37.5
1019074,Clay County,IL,2021-12-17,3178,58,4822,36.6,39.4,31.5
1019075,Clinton County,IL,2021-12-17,7822,123,20232,53.9,58.8,29.8
1019076,Coles County,IL,2021-12-17,9262,147,21716,42.9,46.8,34.3
1019077,Cook County,IL,2021-12-17,721308,12452,3417728,66.4,74.7,31.9
1019078,Crawford County,IL,2021-12-17,3714,55,8628,46.2,51.1,32.3
1019079,Cumberland County,IL,2021-12-17,2240,42,3976,36.9,40.7,28.0
1019080,De Witt County,IL,2021-12-17,2723,49,7789,49.8,53.5,32.4
1019081,DeKalb County,IL,2021-12-17,14546,160,55396,52.8,57.5,31.9
1019082,Douglas County,IL,2021-12-17,3846,44,8839,45.4,49.6,30.2
1019083,DuPage County,IL,2021-12-17,126654,1507,664529,72.0,79.0,36.7
1019084,Edgar County,IL,2021-12-17,3273,83,7722,45.0,50.3,33.3
1019085,Edwards County,IL,2021-12-17,1216,22,2354,36.8,39.8,29.0
1019086,Effingham County,IL,2021-12-17,7588,131,15557,45.7,50.2,33.7
1019087,Fayette County,IL,2021-12-17,4883,77,7116,33.4,36.9,30.0
1019088,Ford County,IL,2021-12-17,2881,78,6955,53.7,57.7,35.3
1019089,Franklin County,IL,2021-12-17,8180,148,16319,42.4,46.9,29.8
1019090,Fulton County,IL,2021-12-17,6115,96,18654,54.3,58.7,36.5
1019091,Gallatin County,IL,2021-12-17,874,11,2438,50.5,56.7,32.7
1019092,Greene County,IL,2021-12-17,2396,62,4931,38.0,40.4,30.7
1019093,Grundy County,IL,2021-12-17,9002,99,27246,53.4,59.1,30.9
1019094,Hamilton County,IL,2021-12-17,1477,28,2813,34.7,37.8,33.7
1019095,Hancock County,IL,2021-12-17,3244,50,8051,45.5,53.1,28.0
1019096,Hardin County,IL,2021-12-17,724,19,1438,37.6,41.6,35.7
1019097,Henderson County,IL,2021-12-17,855,21,2682,40.4,46.2,33.7
1019098,Henry County,IL,2021-12-17,7983,117,27593,56.4,61.7,37.9
1019099,Iroquois County,IL,2021-12-17,5080,89,12807,47.2,50.9,35.2
1019100,Jackson County,IL,2021-12-17,8777,122,27921,49.2,54.9,37.2
1019101,Jasper County,IL,2021-12-17,1838,25,3845,40.0,44.2,35.9
1019102,Jefferson County,IL,2021-12-17,7247,154,16057,42.6,48.1,33.5
1019103,Jersey County,IL,2021-12-17,4037,78,11467,52.7,56.5,33.5
1019104,Jo Daviess County,IL,2021-12-17,2781,36,15664,73.8,84.2,36.5
1019105,Johnson County,IL,2021-12-17,2595,44,5865,47.2,54.4,28.4
1019106,Kane County,IL,2021-12-17,78713,989,329081,61.8,68.3,31.6
1019107,Kankakee County,IL,2021-12-17,20874,295,52618,47.9,52.4,30.9
1019108,Kendall County,IL,2021-12-17,19399,138,81012,62.8,69.4,28.1
1019109,Knox County,IL,2021-12-17,8335,209,27463,55.3,60.0,37.8
1019110,LaSalle County,IL,2021-12-17,17673,361,59771,55.0,60.2,34.5
1019111,Lake County,IL,2021-12-17,93165,1220,504726,72.5,82.8,31.7
1019112,Lawrence County,IL,2021-12-17,3715,48,6212,39.6,45.5,27.2
1019113,Lee County,IL,2021-12-17,5614,108,19032,55.8,60.6,36.0
1019114,Livingston County,IL,2021-12-17,6893,131,17146,48.1,52.7,36.5
1019115,Logan County,IL,2021-12-17,5734,94,14694,51.3,55.2,30.4
1019116,Macon County,IL,2021-12-17,18333,295,51846,49.8,54.4,31.7
1019117,Macoupin County,IL,2021-12-17,8093,169,23298,51.9,56.6,33.1
1019118,Madison County,IL,2021-12-17,45469,771,151113,57.5,63.9,32.7
1019119,Marion County,IL,2021-12-17,7917,171,15763,42.4,46.0,34.2
1019120,Marshall County,IL,2021-12-17,1728,28,6135,53.6,58.8,38.0
1019121,Mason County,IL,2021-12-17,2534,58,6769,50.7,54.1,32.9
1019122,Massac County,IL,2021-12-17,2496,68,5159,37.5,42.2,25.9
1019123,McDonough County,IL,2021-12-17,4412,86,13830,46.6,51.0,39.4
1019124,McHenry County,IL,2021-12-17,42933,388,192680,62.6,68.8,33.0
1019125,McLean County,IL,2021-12-17,27545,294,103600,60.4,65.6,33.5
1019126,Menard County,IL,2021-12-17,2053,20,6582,54.0,58.3,34.8
1019127,Mercer County,IL,2021-12-17,2571,42,8668,56.2,62.1,38.3
1019128,Monroe County,IL,2021-12-17,5965,107,20070,57.9,63.7,35.4
1019129,Montgomery County,IL,2021-12-17,5758,97,13778,48.5,53.8,34.4
1019130,Morgan County,IL,2021-12-17,5770,130,17450,51.8,56.5,35.0
1019131,Moultrie County,IL,2021-12-17,2798,44,5913,40.8,44.1,35.1
1019132,Ogle County,IL,2021-12-17,9480,113,27227,53.8,59.1,36.5
1019133,Peoria County,IL,2021-12-17,30934,430,103061,57.5,62.7,35.2
1019134,Perry County,IL,2021-12-17,4702,93,9721,46.5,52.3,32.2
1019135,Piatt County,IL,2021-12-17,2702,22,9292,56.9,62.4,40.2
1019136,Pike County,IL,2021-12-17,3294,75,5991,38.5,41.6,30.4
1019137,Pope County,IL,2021-12-17,658,8,1319,31.6,35.3,31.7
1019138,Pulaski County,IL,2021-12-17,1142,18,2007,37.6,44.2,27.7
1019139,Putnam County,IL,2021-12-17,720,7,3112,54.2,59.4,40.7
1019140,Randolph County,IL,2021-12-17,6001,114,15382,48.4,53.4,27.3
1019141,Richland County,IL,2021-12-17,3353,81,6881,44.4,47.7,38.0
1019142,Rock Island County,IL,2021-12-17,22440,440,80829,57.0,67.1,31.8
1019143,Saline County,IL,2021-12-17,4793,98,10612,45.2,50.3,35.4
1019144,Sangamon County,IL,2021-12-17,29830,358,119926,61.6,67.2,38.3
1019145,Schuyler County,IL,2021-12-17,1247,26,3283,48.5,51.2,38.8
1019146,Scott County,IL,2021-12-17,833,8,1947,39.3,42.1,34.8
1019147,Shelby County,IL,2021-12-17,4193,66,8500,39.3,42.2,35.0
1019148,St. Clair County,IL,2021-12-17,40767,693,152177,58.6,66.3,29.2
1019149,Stark County,IL,2021-12-17,983,29,2670,50.0,53.7,39.1
1019150,Stephenson County,IL,2021-12-17,7931,145,25250,56.7,62.4,40.1
1019151,Tazewell County,IL,2021-12-17,24535,419,73933,56.1,60.1,34.3
1019152,Union County,IL,2021-12-17,3457,63,8820,53.0,58.6,35.1
1019153,Vermilion County,IL,2021-12-17,17968,249,32462,42.8,47.4,31.2
1019154,Wabash County,IL,2021-12-17,2327,25,5210,45.2,49.7,33.8
1019155,Warren County,IL,2021-12-17,2800,74,7856,46.6,50.6,39.0
1019156,Washington County,IL,2021-12-17,2334,39,7593,54.7,58.2,33.9
1019157,Wayne County,IL,2021-12-17,3422,68,6081,37.5,40.7,31.7
1019158,White County,IL,2021-12-17,3023,47,6337,46.8,52.3,30.6
1019159,Whiteside County,IL,2021-12-17,9895,242,30121,54.6,60.4,34.0
1019160,Will County,IL,2021-12-17,107302,1304,430772,62.4,69.5,31.3
1019161,Williamson County,IL,2021-12-17,13558,214,34565,51.9,57.3,32.6
1019162,Winnebago County,IL,2021-12-17,51192,665,152171,53.9,60.0,35.7
1019163,Woodford County,IL,2021-12-17,6866,122,19996,52.0,55.4,34.8
1019164,Adams County,IN,2021-12-17,6077,87,11293,31.6,34.4,34.7
1019165,Allen County,IN,2021-12-17,71387,952,187816,49.5,54.5,31.1
1019166,Bartholomew County,IN,2021-12-17,13876,202,46841,55.9,61.4,33.0
1019167,Benton County,IN,2021-12-17,1789,18,3476,39.7,42.1,28.3
1019168,Blackford County,IN,2021-12-17,2362,49,5112,43.5,47.0,33.7
1019169,Boone County,IN,2021-12-17,10376,136,45423,67.0,72.9,32.2
1019170,Brown County,IN,2021-12-17,1887,51,7214,47.8,52.7,36.3
1019171,Carroll County,IN,2021-12-17,3187,46,6600,32.6,35.3,26.7
1019172,Cass County,IN,2021-12-17,8579,138,16108,42.7,47.4,26.9
1019173,Clark County,IN,2021-12-17,21002,295,67515,57.1,64.5,28.5
1019174,Clay County,IN,2021-12-17,4852,66,13895,53.0,58.3,28.2
1019175,Clinton County,IN,2021-12-17,6633,90,14653,45.2,49.8,26.9
1019176,Crawford County,IN,2021-12-17,1779,30,3768,35.6,39.5,29.4
1019177,Daviess County,IN,2021-12-17,5328,123,10503,31.5,34.4,27.1
1019178,DeKalb County,IN,2021-12-17,8456,118,17612,40.5,44.1,32.7
1019179,Dearborn County,IN,2021-12-17,9411,113,28618,57.9,65.0,25.9
1019180,Decatur County,IN,2021-12-17,5004,117,12124,45.6,49.5,31.9
1019181,Delaware County,IN,2021-12-17,17819,328,52351,45.9,50.0,32.9
1019182,Dubois County,IN,2021-12-17,9141,146,23259,54.4,58.8,33.7
1019183,Elkhart County,IN,2021-12-17,42237,591,82744,40.1,44.8,26.4
1019184,Fayette County,IN,2021-12-17,5100,110,8601,37.2,40.9,30.8
1019185,Floyd County,IN,2021-12-17,12525,243,42583,54.2,60.3,32.7
1019186,Fountain County,IN,2021-12-17,4026,70,7175,43.9,48.4,27.4
1019187,Franklin County,IN,2021-12-17,3153,51,8083,35.5,39.9,27.0
1019188,Fulton County,IN,2021-12-17,3833,78,7589,38.0,41.8,32.8
1019189,Gibson County,IN,2021-12-17,7486,125,14941,44.4,49.0,30.1
1019190,Grant County,IN,2021-12-17,13221,270,26121,39.7,43.9,31.1
1019191,Greene County,IN,2021-12-17,4992,108,12360,38.7,42.5,30.7
1019192,Hamilton County,IN,2021-12-17,54177,525,228352,67.6,73.7,33.7
1019193,Hancock County,IN,2021-12-17,14015,200,50201,64.2,69.1,29.9
1019194,Harrison County,IN,2021-12-17,7340,106,19528,48.2,53.7,31.1
1019195,Hendricks County,IN,2021-12-17,27797,422,115715,67.9,74.5,28.9
1019196,Henry County,IN,2021-12-17,9715,182,23759,49.5,53.8,31.5
1019197,Howard County,IN,2021-12-17,17729,339,37002,44.8,49.3,30.0
1019198,Huntington County,IN,2021-12-17,8204,121,17456,47.8,52.0,27.7
1019199,Jackson County,IN,2021-12-17,8282,100,22135,50.0,55.4,28.0
1019200,Jasper County,IN,2021-12-17,6598,101,14901,44.4,49.4,30.1
1019201,Jay County,IN,2021-12-17,3588,58,7446,36.4,40.3,35.5
1019202,Jefferson County,IN,2021-12-17,6435,113,17059,52.8,57.6,33.6
1019203,Jennings County,IN,2021-12-17,4827,71,10522,37.9,42.1,28.2
1019204,Johnson County,IN,2021-12-17,29199,498,87547,55.4,62.3,28.8
1019205,Knox County,IN,2021-12-17,7321,119,17272,47.2,51.5,32.3
1019206,Kosciusko County,IN,2021-12-17,15283,177,30685,38.6,42.5,27.5
1019207,LaGrange County,IN,2021-12-17,4557,95,8620,21.8,23.7,29.7
1019208,LaPorte County,IN,2021-12-17,18256,281,58181,52.9,58.3,30.5
1019209,Lake County,IN,2021-12-17,76729,1353,255315,52.6,58.7,29.5
1019210,Lawrence County,IN,2021-12-17,8505,200,21272,46.9,51.2,30.3
1019211,Madison County,IN,2021-12-17,22484,498,64131,49.5,54.0,31.2
1019212,Marion County,IN,2021-12-17,152389,2386,502241,52.1,58.4,27.3
1019213,Marshall County,IN,2021-12-17,9729,160,19550,42.3,46.7,32.1
1019214,Martin County,IN,2021-12-17,1578,20,4831,47.1,51.6,24.7
1019215,Miami County,IN,2021-12-17,6957,119,14033,39.5,43.8,22.5
1019216,Monroe County,IN,2021-12-17,17398,229,83579,56.3,61.6,32.9
1019217,Montgomery County,IN,2021-12-17,7649,127,16637,43.4,47.5,28.7
1019218,Morgan County,IN,2021-12-17,11041,212,35901,50.9,55.8,27.3
1019219,Newton County,IN,2021-12-17,1954,57,4184,29.9,32.8,27.3
1019220,Noble County,IN,2021-12-17,9854,132,17517,36.7,40.2,27.0
1019221,Ohio County,IN,2021-12-17,968,14,4216,71.8,78.2,33.2
1019222,Orange County,IN,2021-12-17,3523,79,10416,53.0,58.4,31.5
1019223,Owen County,IN,2021-12-17,3759,83,8414,40.5,43.9,29.5
1019224,Parke County,IN,2021-12-17,2612,34,6398,37.8,41.1,29.0
1019225,Perry County,IN,2021-12-17,3095,58,10355,54.0,59.1,35.4
1019226,Pike County,IN,2021-12-17,2680,46,6810,55.0,60.2,28.8
1019227,Porter County,IN,2021-12-17,27236,422,91539,53.7,58.8,32.5
1019228,Posey County,IN,2021-12-17,4282,45,11518,45.3,49.0,35.0
1019229,Pulaski County,IN,2021-12-17,2242,64,5256,42.5,46.6,31.9
1019230,Putnam County,IN,2021-12-17,6767,91,15206,40.5,44.0,26.8
1019231,Randolph County,IN,2021-12-17,4306,114,10527,42.7,47.8,32.1
1019232,Ripley County,IN,2021-12-17,5987,97,12844,45.3,49.9,32.7
1019233,Rush County,IN,2021-12-17,3390,35,7391,44.6,48.5,34.1
1019234,Scott County,IN,2021-12-17,5249,85,9963,41.7,45.8,31.7
1019235,Shelby County,IN,2021-12-17,10054,149,24405,54.6,59.8,27.2
1019236,Spencer County,IN,2021-12-17,3810,51,8595,42.4,46.9,31.1
1019237,St. Joseph County,IN,2021-12-17,52980,696,150288,55.3,60.8,30.0
1019238,Starke County,IN,2021-12-17,3821,79,7983,34.7,38.1,29.5
1019239,Steuben County,IN,2021-12-17,7158,93,15665,45.3,49.5,38.0
1019240,Sullivan County,IN,2021-12-17,3646,58,9730,47.1,51.6,32.4
1019241,Switzerland County,IN,2021-12-17,1570,14,3158,29.4,32.2,31.2
1019242,Tippecanoe County,IN,2021-12-17,32669,295,106914,54.6,59.9,31.2
1019243,Tipton County,IN,2021-12-17,2629,70,6536,43.1,47.0,31.7
1019244,Union County,IN,2021-12-17,1351,18,3292,46.7,52.3,29.1
1019245,Vanderburgh County,IN,2021-12-17,36223,518,99277,54.7,59.8,33.2
1019246,Vermillion County,IN,2021-12-17,2981,60,6892,44.5,49.2,30.9
1019247,Vigo County,IN,2021-12-17,19960,326,50907,47.6,52.2,30.1
1019248,Wabash County,IN,2021-12-17,6634,122,12212,39.4,43.4,30.6
1019249,Warren County,IN,2021-12-17,1473,22,3567,43.2,47.3,27.2
1019250,Warrick County,IN,2021-12-17,12893,202,37625,59.7,65.2,34.8
1019251,Washington County,IN,2021-12-17,4081,58,10733,38.3,42.3,27.4
1019252,Wayne County,IN,2021-12-17,13079,280,30605,46.5,51.3,32.2
1019253,Wells County,IN,2021-12-17,5170,113,11216,39.6,43.4,31.8
1019254,White County,IN,2021-12-17,5086,75,12456,51.7,56.1,30.3
1019255,Whitley County,IN,2021-12-17,7025,67,15353,45.2,48.9,30.4
1019256,Allen County,KS,2021-12-17,2518,26,5219,42.2,47.5,32.2
1019257,Anderson County,KS,2021-12-17,1308,22,3185,40.5,45.6,30.9
1019258,Atchison County,KS,2021-12-17,2837,26,6867,42.7,49.3,31.4
1019259,Barber County,KS,2021-12-17,656,7,1970,44.5,49.9,36.4
1019260,Barton County,KS,2021-12-17,4588,66,10410,40.4,45.0,32.6
1019261,Bourbon County,KS,2021-12-17,2823,44,5050,34.7,38.6,32.9
1019262,Brown County,KS,2021-12-17,1952,40,5404,56.5,63.2,34.9
1019263,Butler County,KS,2021-12-17,12435,140,29894,44.7,51.7,28.5
1019264,Chase County,KS,2021-12-17,449,4,1131,42.7,46.8,43.0
1019265,Chautauqua County,KS,2021-12-17,614,12,1262,38.8,43.9,37.3
1019266,Cherokee County,KS,2021-12-17,3970,78,8563,42.9,50.1,22.7
1019267,Cheyenne County,KS,2021-12-17,501,14,1136,42.8,48.1,34.2
1019268,Clark County,KS,2021-12-17,367,7,875,43.9,47.9,34.3
1019269,Clay County,KS,2021-12-17,1379,31,4356,54.4,59.2,35.1
1019270,Cloud County,KS,2021-12-17,1783,30,3970,45.2,50.7,33.1
1019271,Coffey County,KS,2021-12-17,1525,28,4098,50.1,56.3,28.1
1019272,Comanche County,KS,2021-12-17,351,13,744,43.8,49.1,40.2
1019273,Cowley County,KS,2021-12-17,6714,128,15623,44.8,51.3,31.5
1019274,Crawford County,KS,2021-12-17,7523,104,17339,44.7,50.4,31.4
1019275,Decatur County,KS,2021-12-17,513,13,1092,38.6,41.4,42.4
1019276,Dickinson County,KS,2021-12-17,3410,61,9251,50.1,55.0,24.7
1019277,Doniphan County,KS,2021-12-17,1694,29,3444,45.3,51.5,24.0
1019278,Douglas County,KS,2021-12-17,13705,106,70896,58.0,76.6,35.8
1019279,Edwards County,KS,2021-12-17,469,13,1277,45.6,50.1,35.2
1019280,Elk County,KS,2021-12-17,381,6,808,31.9,35.7,37.5
1019281,Ellis County,KS,2021-12-17,5077,75,13347,46.7,54.0,30.7
1019282,Ellsworth County,KS,2021-12-17,1568,31,3158,51.8,55.9,28.7
1019283,Finney County,KS,2021-12-17,8212,92,15379,42.2,56.8,19.4
1019284,Ford County,KS,2021-12-17,7665,97,13525,40.2,47.2,23.1
1019285,Franklin County,KS,2021-12-17,4421,61,12273,48.0,54.6,29.6
1019286,Geary County,KS,2021-12-17,5202,59,19605,61.9,85.5,13.0
1019287,Gove County,KS,2021-12-17,611,22,1207,45.8,51.9,38.3
1019288,Graham County,KS,2021-12-17,373,12,1700,68.5,72.0,26.5
1019289,Grant County,KS,2021-12-17,1561,30,3140,43.9,48.9,26.8
1019290,Gray County,KS,2021-12-17,955,22,2522,42.1,47.7,32.2
1019291,Greeley County,KS,2021-12-17,229,3,605,49.1,53.0,37.7
1019292,Greenwood County,KS,2021-12-17,1151,16,2808,46.9,50.8,19.9
1019293,Hamilton County,KS,2021-12-17,343,1,964,38.0,44.2,26.2
1019294,Harper County,KS,2021-12-17,1200,24,2429,44.7,49.8,25.5
1019295,Harvey County,KS,2021-12-17,6064,91,15013,43.6,49.7,34.5
1019296,Haskell County,KS,2021-12-17,701,9,1445,36.4,41.4,30.6
1019297,Hodgeman County,KS,2021-12-17,279,10,768,42.8,46.9,20.3
1019298,Jackson County,KS,2021-12-17,2564,20,7870,59.8,66.0,31.3
1019299,Jefferson County,KS,2021-12-17,3097,51,9729,51.1,57.8,34.6
1019300,Jewell County,KS,2021-12-17,620,11,1279,44.4,47.9,40.7
1019301,Johnson County,KS,2021-12-17,88199,963,418595,69.5,86.8,27.9
1019302,Kearny County,KS,2021-12-17,968,16,1915,49.9,57.0,27.2
1019303,Kingman County,KS,2021-12-17,1397,24,3217,45.0,49.5,31.4
1019304,Kiowa County,KS,2021-12-17,454,6,1195,48.3,52.9,34.1
1019305,Labette County,KS,2021-12-17,4253,62,9168,46.7,52.0,29.6
1019306,Lane County,KS,2021-12-17,221,8,609,39.7,44.6,39.6
1019307,Leavenworth County,KS,2021-12-17,11833,135,46062,56.3,65.8,21.5
1019308,Lincoln County,KS,2021-12-17,430,6,1235,41.7,45.3,37.2
1019309,Linn County,KS,2021-12-17,1857,21,3256,33.6,37.5,30.0
1019310,Logan County,KS,2021-12-17,577,9,1243,44.5,49.1,34.0
1019311,Lyon County,KS,2021-12-17,6340,96,17926,54.0,59.9,29.3
1019312,Marion County,KS,2021-12-17,2095,35,5482,46.1,52.4,37.5
1019313,Marshall County,KS,2021-12-17,1931,32,5897,60.7,66.3,41.9
1019314,McPherson County,KS,2021-12-17,5251,98,15086,52.9,58.5,34.3
1019315,Meade County,KS,2021-12-17,787,14,1544,38.3,49.7,20.9
1019316,Miami County,KS,2021-12-17,5050,69,15439,45.1,51.0,30.8
1019317,Mitchell County,KS,2021-12-17,915,17,3041,50.9,53.8,39.8
1019318,Montgomery County,KS,2021-12-17,5923,120,13698,43.0,49.7,27.3
1019319,Morris County,KS,2021-12-17,950,22,2987,53.1,58.8,40.4
1019320,Morton County,KS,2021-12-17,474,9,1008,39.0,44.5,25.3
1019321,Nemaha County,KS,2021-12-17,2380,56,5181,50.6,54.5,38.9
1019322,Neosho County,KS,2021-12-17,3255,53,4087,25.5,31.5,38.6
1019323,Ness County,KS,2021-12-17,566,17,1366,49.7,55.0,29.5
1019324,Norton County,KS,2021-12-17,1644,32,2710,50.6,51.8,34.6
1019325,Osage County,KS,2021-12-17,2449,39,7653,48.0,53.5,33.8
1019326,Osborne County,KS,2021-12-17,555,15,1378,40.3,44.3,37.5
1019327,Ottawa County,KS,2021-12-17,885,14,2216,38.8,43.3,29.6
1019328,Pawnee County,KS,2021-12-17,1620,20,3235,50.4,54.7,38.9
1019329,Phillips County,KS,2021-12-17,1055,28,2186,41.8,45.7,33.3
1019330,Pottawatomie County,KS,2021-12-17,3464,44,9132,37.5,42.8,35.3
1019331,Pratt County,KS,2021-12-17,1435,27,4231,46.2,52.6,33.8
1019332,Rawlins County,KS,2021-12-17,582,7,1018,40.2,44.6,36.7
